lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,98,99,22000000000.0,7970000000.0,22000000000.0,7970000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,29970000000.0,29970000000.0,29970000000.0,0.0,0.0,-24.16703616491409,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,98,99,22000000000.0,7970000000.0,22000000000.0,7970000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,26150000000.0,26150000000.0,26149999926.1,-73.9000015258789,-73.9000015258789,-129.88650354334834,-105.71946737843425,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,98,99,22000000000.0,7970000000.0,22000000000.0,7970000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,28060000000.0,28060000000.0,28060000000.0,0.0,0.0,-85.29938339845503,-61.13234723354094,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,98,99,22000000000.0,7970000000.0,22000000000.0,7970000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,31880000000.0,31880000000.0,31879999797.2,-202.79999923706055,-202.79999923706055,-130.64601631821063,-106.47898015329653,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,98,99,22000000000.0,7970000000.0,22000000000.0,7970000000.0,lo+if,spur,3,4,-1,3*LO - 4*IF,34120000000.0,34120000000.0,34119999970.0,-30.0,-30.0,-129.8550835552563,-105.6880473903422,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
