lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,74,75,22000000000.0,7610000000.0,22000000000.0,7610000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,29610000000.0,29610000000.0,29610000000.0,0.0,0.0,-24.753098217800193,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,74,75,22000000000.0,7610000000.0,22000000000.0,7610000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,27950000000.0,27950000000.0,27949999634.4,-365.5999984741211,-365.5999984741211,-131.1563828217137,-106.4032846039135,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,74,75,22000000000.0,7610000000.0,22000000000.0,7610000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,28780000000.0,28780000000.0,28780000000.0,0.0,0.0,-85.21195444046634,-60.45885622266615,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,74,75,22000000000.0,7610000000.0,22000000000.0,7610000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,30440000000.0,30440000000.0,30439999999.0,-1.0,-1.0,-132.3100218116155,-107.55692359381533,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
