lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,96,97,23000000000.0,7940000000.0,23000000000.0,7940000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,30940000000.0,30940000000.0,30940000000.0,0.0,0.0,-25.317530587470706,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,96,97,23000000000.0,7940000000.0,23000000000.0,7940000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,29300000000.0,29300000000.0,29299999870.1,-129.9000015258789,-129.9000015258789,-131.96700175557754,-106.64947116810683,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,96,97,23000000000.0,7940000000.0,23000000000.0,7940000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,30120000000.0,30120000000.0,30120000000.0,0.0,0.0,-83.96394391588973,-58.64641332841902,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,96,97,23000000000.0,7940000000.0,23000000000.0,7940000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,31760000000.0,31760000000.0,31760000186.8,186.79999923706055,186.79999923706055,-130.56189954550294,-105.24436895803223,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
