lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,78,79,23000000000.0,7670000000.0,23000000000.0,7670000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,30670000000.0,30670000000.0,30670000000.0,0.0,0.0,-25.54677164542329,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,78,79,23000000000.0,7670000000.0,23000000000.0,7670000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,30650000000.0,30650000000.0,30650000212.8,212.79999923706055,212.79999923706055,-131.45446996789846,-105.90769832247517,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,78,79,23000000000.0,7670000000.0,23000000000.0,7670000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,30660000000.0,30660000000.0,30660000000.0,0.0,0.0,-84.80834028712644,-59.26156864170315,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,78,79,23000000000.0,7670000000.0,23000000000.0,7670000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,30680000000.0,30680000000.0,30680000134.9,134.9000015258789,134.9000015258789,-131.07729103605027,-105.53051939062698,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
