lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,62,63,23000000000.0,7430000000.0,23000000000.0,7430000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,30430000000.0,30430000000.0,30430000000.0,0.0,0.0,-26.739952605985415,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,62,63,23000000000.0,7430000000.0,23000000000.0,7430000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,29720000000.0,29720000000.0,29720000126.9,126.9000015258789,126.9000015258789,-132.30710020256652,-105.5671475965811,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,62,63,23000000000.0,7430000000.0,23000000000.0,7430000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,31140000000.0,31140000000.0,31140000000.0,0.0,0.0,-85.57843654876093,-58.83848394277552,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,62,63,23000000000.0,7430000000.0,23000000000.0,7430000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,31850000000.0,31850000000.0,31849999754.2,-245.79999923706055,-245.79999923706055,-131.07811000105477,-104.33815739506935,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
