lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,95,96,23000000000.0,7925000000.0,23000000000.0,7925000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,30925000000.0,30925000000.0,30925000000.0,0.0,0.0,-25.519657706099043,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,95,96,23000000000.0,7925000000.0,23000000000.0,7925000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,29375000000.0,29375000000.0,29375000188.8,188.79999923706055,188.79999923706055,-131.6657829457606,-106.14612523966157,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,95,96,23000000000.0,7925000000.0,23000000000.0,7925000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,30150000000.0,30150000000.0,30150000000.0,0.0,0.0,-84.25846315128659,-58.73880544518755,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,95,96,23000000000.0,7925000000.0,23000000000.0,7925000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,31700000000.0,31700000000.0,31700000134.9,134.9000015258789,134.9000015258789,-131.50158071685354,-105.9819230107545,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
