note,spur_type_raw,count,max_level_dbc
Top spur types selected for legend: max_types=12,translated_residual | spur | 2*LO - 2*IF,108,-55.4511050064459
Top spur types selected for legend: max_types=12,translated_residual | spur | 1*LO + 2*IF,43,-67.55528038197085
