lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,6860000000.0,6860000000.0,6860000000.0,0.0,0.0,-19.67708106758294,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,5240000000.0,5240000000.0,5240000000.0,0.0,0.0,-133.40213526796322,-113.72505420038027,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,LO_leak,1,0,1,1*LO + 0*IF,5550000000.0,5550000000.0,5550000000.0,0.0,0.0,-47.632039015799265,-27.954957948216325,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,at-freq,
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,spur,2,4,-1,2*LO - 4*IF,5860000000.0,5860000000.0,5860000000.0,0.0,0.0,-126.2693312737876,-106.59225020620465,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,IF_harmonic,0,5,1,0*LO + 5*IF,6550000000.0,6550000000.0,6549999890.1,-109.89999961853027,-109.89999961853027,-138.99491870371645,-119.3178376361335,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,spur,2,3,-1,2*LO - 3*IF,7170000000.0,7170000000.0,7170000000.0,0.0,0.0,-101.14392189276089,-81.46684082517794,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,spur,1,2,1,1*LO + 2*IF,8170000000.0,8170000000.0,8170000000.0,0.0,0.0,-86.37388292422821,-66.69680185664527,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,24,25,5550000000.0,1310000000.0,5550000000.0,1310000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,8480000000.0,8480000000.0,8480000000.0,0.0,0.0,-78.22469724071482,-58.54761617313188,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
