lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5830000000.0,1700000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,7530000000.0,7529999000.0,-1000.0,-0.6487444246004715,0.0,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,3,-1,1*LO - 3*IF,730000000.0,730003000.0,3000.0,-69.5791316903864,-68.93038726578594,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,4,-1,1*LO - 4*IF,970000000.0,969828200.0,-171800.0,-94.21633949035241,-93.56759506575195,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,IF_leak,0,1,1,0*LO + 1*IF,1700000000.0,1699999000.0,-1000.0,-38.96956193441263,-38.32081750981216,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,2,-1,1*LO - 2*IF,2430000000.0,2430002000.0,2000.0,-46.65539170396397,-46.0066472793635,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,5,-1,1*LO - 5*IF,2670000000.0,2669747300.0,-252700.0,-94.79555885927674,-94.14681443467627,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,5,-1,2*LO - 5*IF,3160000000.0,3159647400.0,-352600.0,-94.8356481713007,-94.18690374670024,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,IF_harmonic,0,2,1,0*LO + 2*IF,3400000000.0,3399998000.0,-2000.0,-65.53070240336172,-64.88195797876125,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,image,1,1,-1,1*LO - 1*IF,4130000000.0,4130001000.0,1000.0,-0.5074418464149401,0.1413025781855315,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,4,-1,2*LO - 4*IF,4860000000.0,4860434600.0,434600.0,-96.85203220075587,-96.2032877761554,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,IF_harmonic,0,3,1,0*LO + 3*IF,5100000000.0,5099997000.0,-3000.0,-81.05588203713177,-80.4071376125313,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,LO_leak,1,0,1,1*LO + 0*IF,5830000000.0,5830000000.0,0.0,-16.069738574257904,-15.420994149657433,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,3,-1,2*LO - 3*IF,6560000000.0,6560003000.0,3000.0,-83.79175701093983,-83.14301258633937,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,6800000000.0,6799877100.0,-122900.0,-97.78441486849154,-97.13567044389107,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,8260000000.0,8260002000.0,2000.0,-58.40080377413364,-57.75205934953317,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,IF_harmonic,0,5,1,0*LO + 5*IF,8500000000.0,8500396600.0,396600.0,-95.78247280143871,-95.13372837683825,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,8990000000.0,8990183800.0,183800.0,-94.4981643529475,-93.84941992834703,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,2,1,1*LO + 2*IF,9230000000.0,9229998000.0,-2000.0,-45.94194590885009,-45.293201484249614,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,1,-1,2*LO - 1*IF,9960000000.0,9960001000.0,1000.0,-35.267142438639226,-34.61839801403875,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,3,4,-1,3*LO - 4*IF,10690000000.0,10690280700.0,280700.0,-93.90603903527264,-93.25729461067218,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,3,1,1*LO + 3*IF,10930000000.0,10929997000.0,-3000.0,-60.04603651267536,-59.397292088074884,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,LO_harmonic,2,0,1,2*LO + 0*IF,11660000000.0,11660000000.0,0.0,-7.441251493276175,-6.792507068675703,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,3,3,-1,3*LO - 3*IF,12390000000.0,12390003000.0,3000.0,-73.10944542935576,-72.4607010047553,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,4,1,1*LO + 4*IF,12630000000.0,12629969000.0,-31000.0,-92.93631752231896,-92.2875730977185,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,1,1,2*LO + 1*IF,13360000000.0,13359999000.0,-1000.0,-35.870553361676805,-35.22180893707633,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,3,2,-1,3*LO - 2*IF,14090000000.0,14090002000.0,2000.0,-57.027194992325406,-56.37845056772493,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,1,5,1,1*LO + 5*IF,14330000000.0,14330022000.0,22000.0,-93.17021603805671,-92.52147161345624,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,4,5,-1,4*LO - 5*IF,14820000000.0,14820400600.0,400600.0,-93.27455716473773,-92.62581274013726,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,2,1,2*LO + 2*IF,15060000000.0,15059998000.0,-2000.0,-62.118498181501316,-61.46975375690084,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,3,1,-1,3*LO - 1*IF,15790000000.0,15790001000.0,1000.0,-13.596322736147439,-12.947578311546968,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,4,4,-1,4*LO - 4*IF,16520000000.0,16519576400.0,-423600.0,-92.77476866831503,-92.12602424371457,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,3,1,2*LO + 3*IF,16760000000.0,16759997000.0,-3000.0,-85.76029131234664,-85.11154688774617,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,LO_harmonic,3,0,1,3*LO + 0*IF,17490000000.0,17490000000.0,0.0,-22.60691775750953,-21.95817333290906,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,4,3,-1,4*LO - 3*IF,18220000000.0,18220003000.0,3000.0,-86.09882757267074,-85.45008314807028,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,2,4,1,2*LO + 4*IF,18460000000.0,18460158800.0,158800.0,-92.53190265043678,-91.88315822583631,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,3,1,1,3*LO + 1*IF,19190000000.0,19189999000.0,-1000.0,-17.903253093987324,-17.25450866938685,0,1000000.0,1000.0,,100,peak,peak,
5830000000.0,1700000000.0,lo+if,spur,4,2,-1,4*LO - 2*IF,19920000000.0,19920002000.0,2000.0,-69.69620305311524,-69.04745862851478,0,1000000.0,1000.0,,100,peak,peak,
