lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,13,14,21000000000.0,6695000000.0,21000000000.0,6695000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,27695000000.0,27695000000.0,27695000000.0,0.0,0.0,-26.76310809010481,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,13,14,21000000000.0,6695000000.0,21000000000.0,6695000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,26780000000.0,26780000000.0,26780000000.0,0.0,0.0,-93.26209603924399,-66.49898794913918,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,13,14,21000000000.0,6695000000.0,21000000000.0,6695000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,28610000000.0,28610000000.0,28610000000.0,0.0,0.0,-74.85322626239164,-48.090118172286836,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,13,14,21000000000.0,6695000000.0,21000000000.0,6695000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,29525000000.0,29525000000.0,29524999587.4,-412.5999984741211,-412.5999984741211,-131.9825548206179,-105.2194467305131,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,13,14,21000000000.0,6695000000.0,21000000000.0,6695000000.0,lo+if,IF_harmonic,0,5,1,0*LO + 5*IF,33475000000.0,33475000000.0,33475000499.5,499.5,499.5,-131.22202145534789,-104.45891336524308,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,13,14,21000000000.0,6695000000.0,21000000000.0,6695000000.0,lo+if,spur,1,2,1,1*LO + 2*IF,34390000000.0,34390000000.0,34390000000.0,0.0,0.0,-87.09586294487721,-60.3327548547724,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
