note,spur_type_raw,count,max_level_dbc
Top spur types selected for legend: max_types=12,mixer2_family | spur | 2*LO - 2*IF,102,-55.02085553658874
Top spur types selected for legend: max_types=12,translated_residual | spur | 2*LO - 2*IF,49,-56.071105006445904
