lo2_hz,lo2_ghz,severity_rank,if1_hz,if1_mhz,worst_tone_freq_hz,worst_tone_freq_ghz,worst_tone_level_dbc,margin_to_spec_db,coincident,coincident_with_carrier_bin,has_unknown_contributors,unknown_contributors_count,unknown_combining_mode,spur_type,spur_type_raw,top_origin,top_stage_path,top_dataset_id,top_kind,top_expression,top_m,top_n,top_sign,top_dbc,top_lineage_row_indices
21000000000.0,21.0,134,2060000000.0,2060.0,27980000000.0,27.98,-59.139478458296615,-0.8605215417033847,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.139478458296615,593
21000000000.0,21.0,135,1970000000.0,1970.0,28160000000.0,28.16,-59.166891726895685,-0.8331082731043153,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.166891726895685,547
21000000000.0,21.0,136,2420000000.0,2420.0,27260000000.0,27.26,-59.25283428728201,-0.7471657127179867,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.25283428728202,784
21000000000.0,21.0,137,1960000000.0,1960.0,26980000000.0,26.98,-59.275425066488566,-0.724574933511434,False,False,False,0,ignore,mixer2_family | spur | 2*LO - 2*IF,mixer2_family | spur | 2*LO - 2*IF,mixer2_family,mixer2_family -> rf_filter,mixer2_lo2_21GHz,spur,2*LO - 2*IF,2,2,-1,-59.275425066488566,"404,410"
21000000000.0,21.0,138,2160000000.0,2160.0,27780000000.0,27.78,-59.47888494925834,-0.5211150507416633,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.47888494925834,"641,650"
21000000000.0,21.0,139,2180000000.0,2180.0,27740000000.0,27.74,-59.48624085672024,-0.5137591432797635,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.48624085672024,659
21000000000.0,21.0,140,2090000000.0,2090.0,27920000000.0,27.92,-59.487335709408825,-0.5126642905911751,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.487335709408825,607
21000000000.0,21.0,141,2250000000.0,2250.0,27600000000.0,27.6,-59.562423998750916,-0.43757600124908436,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.562423998750916,"694,703"
21000000000.0,21.0,142,2020000000.0,2020.0,28060000000.0,28.06,-59.9084162933148,-0.09158370668519922,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.9084162933148,"571,579"
21000000000.0,21.0,143,2170000000.0,2170.0,27760000000.0,27.76,-59.980408990137505,-0.019591009862494957,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-59.980408990137505,"650,659"
21000000000.0,21.0,144,2260000000.0,2260.0,27580000000.0,27.58,-60.35885901049185,0.3588590104918481,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-60.35885901049185,"703,711"
21000000000.0,21.0,145,2270000000.0,2270.0,27560000000.0,27.56,-60.595311820921786,0.5953118209217862,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-60.595311820921786,711
21000000000.0,21.0,146,2330000000.0,2330.0,27440000000.0,27.44,-60.61456738065697,0.6145673806569718,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-60.61456738065697,743
21000000000.0,21.0,147,2050000000.0,2050.0,28000000000.0,28.0,-60.86797840579039,0.8679784057903888,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-60.86797840579039,"586,593"
21000000000.0,21.0,148,2110000000.0,2110.0,27880000000.0,27.88,-61.133359372552505,1.1333593725525049,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-61.133359372552505,"614,623"
21000000000.0,21.0,149,2100000000.0,2100.0,27900000000.0,27.9,-61.28474940763648,1.2847494076364825,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-61.28474940763648,"607,614"
21000000000.0,21.0,150,2030000000.0,2030.0,28040000000.0,28.04,-61.41659191123853,1.4165919112385268,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-61.41659191123853,579
21000000000.0,21.0,151,2040000000.0,2040.0,28020000000.0,28.02,-61.61996345569317,1.619963455693167,False,False,False,0,ignore,translated_residual | spur | 2*LO - 2*IF,translated_residual | spur | 2*LO - 2*IF,translated_residual,translated_residual -> if2_filter -> mixer2_translate -> rf_filter,mixer1,spur,2*LO - 2*IF,2,2,-1,-61.61996345569317,"579,586"
