lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5550000000.0,1790000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,7340000000.0,7339998800.0,-1200.0,-20.41870792257051,0.0,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,3,-1,1*LO - 3*IF,180000000.0,180003490.0,3490.0,-100.12295629491831,-79.7042483723478,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,4,-1,1*LO - 4*IF,1610000000.0,1610251187.0,251187.0,-116.06591494462265,-95.64720702205214,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,IF_leak,0,1,1,0*LO + 1*IF,1790000000.0,1789998820.0,-1180.0,-55.39869636750538,-34.979988444934875,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,2,-1,1*LO - 2*IF,1970000000.0,1970002340.0,2340.0,-68.53115484523394,-48.11244692266344,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,5,-1,2*LO - 5*IF,2150000000.0,2149589624.0,-410376.0,-114.34162194469364,-93.92291402212314,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,5,-1,1*LO - 5*IF,3400000000.0,3400373926.0,373926.0,-115.96329109721927,-95.54458317464876,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,IF_harmonic,0,2,1,0*LO + 2*IF,3580000000.0,3579997650.0,-2350.0,-84.13002139150565,-63.711313468935145,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,image,1,1,-1,1*LO - 1*IF,3760000000.0,3760001160.0,1160.0,-20.314946097046235,0.10376182552427338,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,4,-1,2*LO - 4*IF,3940000000.0,3940232298.0,232298.0,-115.73753238807511,-95.3188244655046,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,IF_harmonic,0,3,1,0*LO + 3*IF,5370000000.0,5369996460.0,-3540.0,-99.36628601606904,-78.94757809349854,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,LO_leak,1,0,1,1*LO + 0*IF,5550000000.0,5549999980.0,-20.0,-37.9553896881794,-17.536681765608893,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,3,-1,2*LO - 3*IF,5730000000.0,5730003470.0,3470.0,-100.1948496640673,-79.7761417414968,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,7160000000.0,7160142189.0,142189.0,-118.54046870729748,-98.12176078472697,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,7520000000.0,7520002310.0,2310.0,-80.08579253356764,-59.66708461099714,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,7700000000.0,7700093259.0,93259.0,-117.27559443748771,-96.8568865149172,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,IF_harmonic,0,5,1,0*LO + 5*IF,8950000000.0,8949586524.0,-413476.0,-114.28820398576983,-93.86949606319932,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,2,1,1*LO + 2*IF,9130000000.0,9129997630.0,-2370.0,-65.90021679570117,-45.481508873130664,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,1,-1,2*LO - 1*IF,9310000000.0,9310001140.0,1140.0,-57.33018877151053,-36.911480848940016,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,3,4,-1,3*LO - 4*IF,9490000000.0,9489910471.0,-89529.0,-114.96989551121914,-94.55118758864863,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,3,1,1*LO + 3*IF,10920000000.0,10919996460.0,-3540.0,-79.92578601814365,-59.50707809557315,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,LO_harmonic,2,0,1,2*LO + 0*IF,11100000000.0,11099999960.0,-40.0,-28.8250859087923,-8.406377986221791,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,3,3,-1,3*LO - 3*IF,11280000000.0,11280003460.0,3460.0,-92.42817590694223,-72.00946798437172,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,4,1,1*LO + 4*IF,12710000000.0,12709923111.0,-76889.0,-113.73286014811752,-93.31415222554702,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,1,1,2*LO + 1*IF,12890000000.0,12889998790.0,-1210.0,-58.18684858267097,-37.76814066010046,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,3,2,-1,3*LO - 2*IF,13070000000.0,13070002290.0,2290.0,-76.8737824510096,-56.4550745284391,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,4,5,-1,4*LO - 5*IF,13250000000.0,13250078979.0,78979.0,-114.85448159659994,-94.43577367402943,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,1,5,1,1*LO + 5*IF,14500000000.0,14500232258.0,232258.0,-112.28675019864141,-91.86804227607091,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,2,1,2*LO + 2*IF,14680000000.0,14679997600.0,-2400.0,-88.54469615421677,-68.12598823164626,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,3,1,-1,3*LO - 1*IF,14860000000.0,14860001120.0,1120.0,-34.032854368923545,-13.614146446353036,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,4,4,-1,4*LO - 4*IF,15040000000.0,15040321427.0,321427.0,-113.43155476081839,-93.01284683824788,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,3,1,2*LO + 3*IF,16470000000.0,16469996460.0,-3540.0,-105.48868444536217,-85.06997652279166,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,LO_harmonic,3,0,1,3*LO + 0*IF,16650000000.0,16649999940.0,-60.0,-41.948349911369036,-21.529641988798527,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,4,3,-1,4*LO - 3*IF,16830000000.0,16830003430.0,3430.0,-102.84657401879555,-82.42786609622505,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,2,4,1,2*LO + 4*IF,18260000000.0,18260416716.0,416716.0,-111.93451663941686,-91.51580871684635,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,3,1,1,3*LO + 1*IF,18440000000.0,18439998770.0,-1230.0,-36.23511038234891,-15.816402459778399,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,4,2,-1,4*LO - 2*IF,18620000000.0,18620002270.0,2270.0,-85.78548912698298,-65.36678120441248,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1790000000.0,lo+if,spur,5,5,-1,5*LO - 5*IF,18800000000.0,18799580484.0,-419516.0,-112.04946175856817,-91.63075383599767,0,1000000.0,1000.0,,10,peak,peak,
