lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5550000000.0,995000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,6545000000.0,6544999320.0,-680.0,-19.85692779270657,0.0,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,spur,1,5,-1,1*LO - 5*IF,575000000.0,575003280.0,3280.0,-110.31071727148256,-90.45378947877599,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,IF_leak,0,1,1,0*LO + 1*IF,995000000.0,994999340.0,-660.0,-56.036321362333304,-36.17939356962673,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,spur,1,4,-1,1*LO - 4*IF,1570000000.0,1570002610.0,2610.0,-95.44624450207813,-75.58931670937156,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,IF_harmonic,0,2,1,0*LO + 2*IF,1990000000.0,1989998680.0,-1320.0,-93.43304108633393,-73.57611329362736,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,spur,1,3,-1,1*LO - 3*IF,2565000000.0,2565001960.0,1960.0,-81.38054713207693,-61.523619339370356,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,IF_harmonic,0,3,1,0*LO + 3*IF,2985000000.0,2984998050.0,-1950.0,-104.05562774147953,-84.19869994877295,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,spur,1,2,-1,1*LO - 2*IF,3560000000.0,3560001300.0,1300.0,-71.65733445545152,-51.80040666274495,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,3980000000.0,3980216268.0,216268.0,-115.59360945407995,-95.73668166137338,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,995000000.0,lo+if,image,1,1,-1,1*LO - 1*IF,4555000000.0,4555000640.0,640.0,-19.719128642376983,0.13779915032958812,0,1000000.0,1000.0,,10,peak,peak,
