lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5550000000.0,2420000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,7970000000.0,7969998400.0,-1600.0,-20.66508065486112,0.0,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,1,2,-1,1*LO - 2*IF,710000000.0,710003130.0,3130.0,-70.65084650320786,-49.98576584834674,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,2,5,-1,2*LO - 5*IF,1000000000.0,999513035.0,-486965.0,-113.57006562775025,-92.90498497288914,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,2,4,-1,2*LO - 4*IF,1420000000.0,1419873771.0,-126229.0,-115.64951669910242,-94.9844360442413,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,1,3,-1,1*LO - 3*IF,1710000000.0,1709995260.0,-4740.0,-104.12942487290141,-83.46434421804028,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,IF_leak,0,1,1,0*LO + 1*IF,2420000000.0,2419998420.0,-1580.0,-56.47488750870384,-35.809806853842716,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,image,1,1,-1,1*LO - 1*IF,3130000000.0,3130001560.0,1560.0,-21.196075813256456,-0.530995158395335,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,2,3,-1,2*LO - 3*IF,3840000000.0,3840004700.0,4700.0,-105.72433795629154,-85.05925730143042,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,1,4,-1,1*LO - 4*IF,4130000000.0,4130291697.0,291697.0,-116.67834372632001,-96.01326307145888,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,4550000000.0,4549676443.0,-323557.0,-115.70046526010786,-95.03538460524675,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,IF_harmonic,0,2,1,0*LO + 2*IF,4840000000.0,4839996850.0,-3150.0,-92.01490404723413,-71.349823392373,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,LO_leak,1,0,1,1*LO + 0*IF,5550000000.0,5549999980.0,-20.0,-37.93137656490691,-17.26629591004579,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,6260000000.0,6260003110.0,3110.0,-77.91973896682651,-57.25465831196539,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,1,5,-1,1*LO - 5*IF,6550000000.0,6550364716.0,364716.0,-117.3362137395963,-96.67113308473517,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,3,4,-1,3*LO - 4*IF,6970000000.0,6970027870.0,27870.0,-117.9341079849042,-97.26902733004309,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,IF_harmonic,0,3,1,0*LO + 3*IF,7260000000.0,7259995310.0,-4690.0,-106.64615320720398,-85.98107255234285,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,2,1,-1,2*LO - 1*IF,8680000000.0,8680001540.0,1540.0,-56.75122774428304,-36.08614708942192,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,3,3,-1,3*LO - 3*IF,9390000000.0,9390004660.0,4660.0,-98.51141651706544,-77.84633586220431,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,9680000000.0,9680478595.0,478595.0,-114.23799699356435,-93.57291633870324,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,4,5,-1,4*LO - 5*IF,10100000000.0,10100012560.0,12560.0,-114.61288787713329,-93.94780722227216,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2420000000.0,lo+if,spur,1,2,1,1*LO + 2*IF,10390000000.0,10389996830.0,-3170.0,-61.71412466283749,-41.04904400797637,0,1000000.0,1000.0,,10,peak,peak,
