lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5550000000.0,1070000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,6620000000.0,6619999270.0,-730.0,-20.189316686841273,0.0,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,spur,1,5,-1,1*LO - 5*IF,200000000.0,200003540.0,3540.0,-100.29323207582401,-80.10391538898273,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,IF_leak,0,1,1,0*LO + 1*IF,1070000000.0,1069999290.0,-710.0,-54.27429844979331,-34.08498176295203,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,spur,1,4,-1,1*LO - 4*IF,1270000000.0,1270002820.0,2820.0,-82.46688459349258,-62.277567906651306,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,IF_harmonic,0,2,1,0*LO + 2*IF,2140000000.0,2139998580.0,-1420.0,-92.63345139749397,-72.44413471065269,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,spur,1,3,-1,1*LO - 3*IF,2340000000.0,2340002110.0,2110.0,-69.26411799758965,-49.07480131074838,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,IF_harmonic,0,3,1,0*LO + 3*IF,3210000000.0,3209997820.0,-2180.0,-109.05892439506601,-88.86960770822475,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,spur,1,2,-1,1*LO - 2*IF,3410000000.0,3410001400.0,1400.0,-56.47447999046895,-36.28516330362768,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,4280000000.0,4279997200.0,-2800.0,-109.40671095320292,-89.21739426636165,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,image,1,1,-1,1*LO - 1*IF,4480000000.0,4480000690.0,690.0,-19.76732760542218,0.42198908141909186,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,IF_harmonic,0,5,1,0*LO + 5*IF,5350000000.0,5349996520.0,-3480.0,-113.28168930798282,-93.09237262114155,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,LO_leak,1,0,1,1*LO + 0*IF,5550000000.0,5549999980.0,-20.0,-38.10235166931595,-17.913034982474677,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,1070000000.0,lo+if,spur,2,5,-1,2*LO - 5*IF,5750000000.0,5750003530.0,3530.0,-108.42132693245924,-88.23201024561797,0,1000000.0,1000.0,,10,peak,peak,
