lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5550000000.0,950000000.0,lo+if,spur,3,3,-1,3*LO - 3*IF,13800000000.0,13800001840.0,1840.0,-94.3798149145398,-73.59278829463622,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,2,3,1,2*LO + 3*IF,13950000000.0,13949997930.0,-2070.0,-108.85714340634216,-88.07011678643858,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,3,2,-1,3*LO - 2*IF,14750000000.0,14750001200.0,1200.0,-82.97033063347206,-62.18330401356847,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,2,4,1,2*LO + 4*IF,14900000000.0,14900158578.0,158578.0,-113.7413144850104,-92.9542878651068,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,3,1,-1,3*LO - 1*IF,15700000000.0,15700000570.0,570.0,-35.46748060702605,-14.680453987122455,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,2,5,1,2*LO + 5*IF,15850000000.0,15849793872.0,-206128.0,-113.46548538768451,-92.67845876778091,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,LO_harmonic,3,0,1,3*LO + 0*IF,16650000000.0,16649999940.0,-60.0,-41.875587129904474,-21.08856051000088,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,4,5,-1,4*LO - 5*IF,17450000000.0,17449555524.0,-444476.0,-112.99402796348,-92.2070013435764,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,3,1,1,3*LO + 1*IF,17600000000.0,17599999310.0,-690.0,-35.816097598095304,-15.029070978191712,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,4,4,-1,4*LO - 4*IF,18400000000.0,18399755502.0,-244498.0,-112.40624524560486,-91.61921862570128,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,3,2,1,3*LO + 2*IF,18550000000.0,18549998680.0,-1320.0,-83.1119169183083,-62.3248902984047,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,950000000.0,lo+if,spur,4,3,-1,4*LO - 3*IF,19350000000.0,19350001750.0,1750.0,-106.02710782022316,-85.24008120031957,0,1000000.0,1000.0,,10,peak,peak,
