lo_Hz,if_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,measured_freq_Hz,freq_error_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
5550000000.0,2450000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,8000000000.0,7999998390.0,-1610.0,-20.20481920870312,0.0,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,2,-1,1*LO - 2*IF,650000000.0,650003170.0,3170.0,-69.88796046512185,-49.68314125641873,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,5,-1,2*LO - 5*IF,1150000000.0,1149689123.0,-310877.0,-115.92219620386223,-95.7173769951591,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,4,-1,2*LO - 4*IF,1300000000.0,1300343717.0,343717.0,-115.13153478038042,-94.9267155716773,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,3,-1,1*LO - 3*IF,1800000000.0,1799995230.0,-4770.0,-108.49612036935598,-88.29130116065286,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,IF_leak,0,1,1,0*LO + 1*IF,2450000000.0,2449998410.0,-1590.0,-61.23055969604556,-41.02574048734244,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,image,1,1,-1,1*LO - 1*IF,3100000000.0,3100001580.0,1580.0,-21.198123079292124,-0.9933038705890027,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,3,-1,2*LO - 3*IF,3750000000.0,3750004710.0,4710.0,-107.03031645117512,-86.82549724247201,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,4,-1,1*LO - 4*IF,4250000000.0,4250139969.0,139969.0,-115.7305527340879,-95.52573352538477,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,4400000000.0,4399820342.0,-179658.0,-115.8178589037719,-95.61303969506878,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,IF_harmonic,0,2,1,0*LO + 2*IF,4900000000.0,4899996800.0,-3200.0,-90.09144796312714,-69.88662875442401,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,LO_leak,1,0,1,1*LO + 0*IF,5550000000.0,5549999980.0,-20.0,-37.93225245617813,-17.727433247475005,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,6200000000.0,6200003150.0,3150.0,-75.46173434197529,-55.256915133272166,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,5,-1,1*LO - 5*IF,6700000000.0,6699853191.0,-146809.0,-116.86602304885055,-96.66120384014744,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,3,4,-1,3*LO - 4*IF,6850000000.0,6850088949.0,88949.0,-117.46934101065236,-97.26452180194923,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,IF_harmonic,0,3,1,0*LO + 3*IF,7350000000.0,7349995200.0,-4800.0,-104.95276980368845,-84.74795059498533,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,1,-1,2*LO - 1*IF,8650000000.0,8650001560.0,1560.0,-57.65108453769882,-37.4462653289957,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,3,3,-1,3*LO - 3*IF,9300000000.0,9300004750.0,4750.0,-96.56197975967542,-76.35716055097231,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,9800000000.0,9800026260.0,26260.0,-114.75163970807819,-94.54682049937506,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,4,5,-1,4*LO - 5*IF,9950000000.0,9950337117.0,337117.0,-115.09565559159407,-94.89083638289094,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,2,1,1*LO + 2*IF,10450000000.0,10449996790.0,-3210.0,-61.58506419106522,-41.3802449823621,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,LO_harmonic,2,0,1,2*LO + 0*IF,11100000000.0,11099999960.0,-40.0,-28.812255800382992,-8.607436591679871,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,3,2,-1,3*LO - 2*IF,11750000000.0,11750003140.0,3140.0,-72.53969198675262,-52.334872778049494,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,IF_harmonic,0,5,1,0*LO + 5*IF,12250000000.0,12250019480.0,19480.0,-112.94609080983147,-92.74127160112835,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,4,4,-1,4*LO - 4*IF,12400000000.0,12400322677.0,322677.0,-112.97803390048672,-92.77321469178361,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,3,1,1*LO + 3*IF,12900000000.0,12899995210.0,-4790.0,-97.66730964375121,-77.4624904350481,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,1,1,2*LO + 1*IF,13550000000.0,13549998360.0,-1640.0,-58.54069448544058,-38.33587527673746,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,3,1,-1,3*LO - 1*IF,14200000000.0,14200001540.0,1540.0,-33.815984453876744,-13.611165245173623,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,4,3,-1,4*LO - 3*IF,14850000000.0,14850004790.0,4790.0,-106.53107750200158,-86.32625829329845,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,4,1,1*LO + 4*IF,15350000000.0,15349590424.0,-409576.0,-113.45002844347788,-93.24520923477476,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,5,5,-1,5*LO - 5*IF,15500000000.0,15500315297.0,315297.0,-113.73132202183376,-93.52650281313063,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,2,1,2*LO + 2*IF,16000000000.0,15999996780.0,-3220.0,-88.17363697875258,-67.96881777004947,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,LO_harmonic,3,0,1,3*LO + 0*IF,16650000000.0,16649999940.0,-60.0,-41.99372965178278,-21.788910443079658,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,4,2,-1,4*LO - 2*IF,17300000000.0,17300003120.0,3120.0,-84.38491651833061,-64.18009730962748,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,1,5,1,1*LO + 5*IF,17800000000.0,17800084319.0,84319.0,-112.14492326826081,-91.94010405955768,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,5,4,-1,5*LO - 4*IF,17950000000.0,17950002460.0,2460.0,-112.45003773395858,-92.24521852525547,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,2,3,1,2*LO + 3*IF,18450000000.0,18449995120.0,-4880.0,-107.97404531332539,-87.76922610462228,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,3,1,1,3*LO + 1*IF,19100000000.0,19099998350.0,-1650.0,-36.68893077950556,-16.48411157080244,0,1000000.0,1000.0,,10,peak,peak,
5550000000.0,2450000000.0,lo+if,spur,4,1,-1,4*LO - 1*IF,19750000000.0,19750001520.0,1520.0,-77.31980520114625,-57.11498599244313,0,1000000.0,1000.0,,10,peak,peak,
