lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,14,15,23000000000.0,6710000000.0,23000000000.0,6710000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,29710000000.0,29710000000.0,29710000000.0,0.0,0.0,-25.094499984139688,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,14,15,23000000000.0,6710000000.0,23000000000.0,6710000000.0,lo+if,spur,2,3,-1,2*LO - 3*IF,25870000000.0,25870000000.0,25870000000.0,0.0,0.0,-109.50854469271476,-84.41404470857508,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,14,15,23000000000.0,6710000000.0,23000000000.0,6710000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,26840000000.0,26840000000.0,26840000000.0,0.0,0.0,-112.21191154547007,-87.11741156133039,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,14,15,23000000000.0,6710000000.0,23000000000.0,6710000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,32580000000.0,32580000000.0,32580000000.0,0.0,0.0,-99.0171525105994,-73.92265252645971,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,14,15,23000000000.0,6710000000.0,23000000000.0,6710000000.0,lo+if,IF_harmonic,0,5,1,0*LO + 5*IF,33550000000.0,33550000000.0,33550000000.0,0.0,0.0,-129.76371998488935,-104.66922000074966,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
