lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,100,101,23000000000.0,8000000000.0,23000000000.0,8000000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,31000000000.0,31000000000.0,31000000000.0,0.0,0.0,-25.719988530514563,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,100,101,23000000000.0,8000000000.0,23000000000.0,8000000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,29000000000.0,29000000000.0,29000000072.9,72.9000015258789,72.9000015258789,-132.64691334223446,-106.92692481171989,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,100,101,23000000000.0,8000000000.0,23000000000.0,8000000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,30000000000.0,30000000000.0,30000000000.0,0.0,0.0,-94.81426295753208,-69.09427442701752,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,100,101,23000000000.0,8000000000.0,23000000000.0,8000000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,32000000000.0,32000000000.0,31999999999.0,-1.0,-1.0,-123.5281353616014,-97.80814683108684,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
