lo_index,if_index,point_index,lo_set_Hz,if_set_Hz,lo_model_Hz,if_model_Hz,mode,kind,m,n,sign,expression,expected_freq_Hz,expected_corr_freq_Hz,measured_freq_Hz,freq_error_Hz,freq_error_corr_Hz,power_dBm,rel_dBc_vs_desired,noise_limited,cluster_id,cluster_size,analytic_coincidence_id,analytic_coincidence_size,measured_coincidence_id,measured_coincidence_size,measurement_scope,cluster_window_half_width_Hz,cluster_window_fallback,span_Hz,rbw_Hz,vbw_Hz,avg_sweeps,marker_mode_global,marker_mode_effective,error
0,51,52,23000000000.0,7265000000.0,23000000000.0,7265000000.0,lo+if,desired,1,1,1,1*LO + 1*IF,30265000000.0,30265000000.0,30265000000.0,0.0,0.0,-25.84772801527141,0.0,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,51,52,23000000000.0,7265000000.0,23000000000.0,7265000000.0,lo+if,IF_harmonic,0,4,1,0*LO + 4*IF,29060000000.0,29060000000.0,29060000000.0,0.0,0.0,-125.4610566068292,-99.61332859155779,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,51,52,23000000000.0,7265000000.0,23000000000.0,7265000000.0,lo+if,spur,2,2,-1,2*LO - 2*IF,31470000000.0,31470000000.0,31470000000.0,0.0,0.0,-98.86821870759417,-73.02049069232275,0,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
0,51,52,23000000000.0,7265000000.0,23000000000.0,7265000000.0,lo+if,spur,3,5,-1,3*LO - 5*IF,32675000000.0,32675000000.0,32674999817.2,-182.79999923706055,-182.79999923706055,-131.33254300233804,-105.48481498706663,1,-1,1,-1,1,-1,1,single,0.0,0,1000.0,10.0,,10,auto,peak,
